date,요일,포도_거래량(kg),포도_가격(원/kg),망고_거래량(kg),망고_가격(원/kg),체리_거래량(kg),체리_가격(원/kg),레몬_거래량(kg),레몬_가격(원/kg),블루베리_거래량(kg),블루베리_가격(원/kg),수박_거래량(kg),수박_가격(원/kg),딸기_거래량(kg),딸기_가격(원/kg),메론_거래량(kg),메론_가격(원/kg),사과_거래량(kg),사과_가격(원/kg),참외_거래량(kg),참외_가격(원/kg),감귤_거래량(kg),감귤_가격(원/kg),바나나_거래량(kg),바나나_가격(원/kg),복숭아_거래량(kg),복숭아_가격(원/kg),참다래(키위)_거래량(kg),참다래(키위)_가격(원/kg),자두_거래량(kg),자두_가격(원/kg),파인애플_거래량(kg),파인애플_가격(원/kg)
2020-01-29,수요일,67220.0,5781.86762868194,18085.0,6715.897152336191,6505.0,11975.710991544966,9422.2,2873.4775317866315,1067.8,10975.276268964226,45386.0,2746.2346097915656,463712.2,7714.7680738182,24299.0,4187.388781431335,371733.0,1666.560300000269,4025.0,5098.360248447205,1346418.8,1673.578794354327,578163.6699999999,1416.0914330711926,0.0,0.0,32500.8,3418.23278196229,0.0,0.0,86584.8,1553.5117018229528
2020-01-30,목요일,42364.79999999999,7722.30200543848,30977.0,4028.6799883784743,7362.0,11692.602553653898,13200.9,2951.4843684900275,2098.5,11194.758160590898,35026.5,2807.7047378413486,296646.91,8047.958800582147,22076.0,3373.5491030983876,509278.5,1574.926685497228,5039.4,4236.417033773862,1214274.7,1572.4097718580483,423675.0,1475.7406502625834,0.0,0.0,33541.9,2912.892531430837,40.0,7950.0,91425.0,1696.8908941755537
2020-01-31,금요일,92069.09999999999,5717.730878220815,21327.0,5534.9500633000425,16875.0,11905.371851851853,24109.4,2554.991828913204,6716.8,8782.828132444021,53074.0,2820.653691072842,333070.3,8997.851291454086,25406.0,3462.514287963473,833431.0,1872.8570307559953,5007.0,5317.615338526063,1324648.8,1543.2394020211243,752571.0,1392.4621995798402,0.0,0.0,47447.6,2681.9986680042825,15.0,10500.0,128458.0,1409.5740241946785
2020-02-01,토요일,54041.3,7532.786961083467,13573.0,4852.27584174464,6285.0,11414.136833731105,2559.0,2848.800312622118,2105.4,10259.713118647287,29404.0,2920.606380084342,490849.5,8632.857529650128,23121.0,3139.3127459884954,327834.0,1584.2771036561187,9341.0,4921.935552938658,1237964.5,1519.5219329794998,240591.22,1633.731480309215,30.0,2733.3333333333335,26200.6,2993.7871651794235,0.0,0.0,39657.5,1496.531551408939
2020-02-03,월요일,52539.0,7346.1450351167705,16501.0,4501.063571904733,8384.0,11109.613549618321,9053.5,2944.660628486221,4524.5,10006.486904630347,69000.0,2843.0657971014493,532729.6,8133.989603731425,38251.0,3242.907008967086,1199070.0,1749.3234590140692,5500.0,4786.736363636363,1684137.2,1681.2452619655928,565710.6,1444.747544062282,150.0,8520.0,41425.0,3366.851418225709,84.0,8772.619047619048,97587.5,1557.1705392596389
2020-02-04,화요일,53562.9,6951.341506901232,14917.0,6816.089696319636,6102.0,13034.562438544739,7302.5,2935.1619308456006,1537.7,11621.291539311958,42926.0,2707.0728695895264,454474.56,7662.636515892111,20608.0,3899.791343167702,781075.0,1538.0598534071632,6250.0,5667.296,1338961.0,1610.36955519989,510048.1,1438.8356705965575,100.0,2800.0,29950.5,2825.9020717517237,0.0,0.0,85073.0,1428.56546730455
2020-02-05,수요일,46894.3,6611.81218186432,22110.0,5436.160108548168,4289.0,13851.130799720215,5787.0,2959.2880594435806,2229.5,10784.929356357929,49757.0,2719.171413067508,373655.45,7458.821842421942,19052.0,4392.213940793617,857734.0,1504.8452550557631,5710.0,5687.450087565674,1395677.9000000001,1611.6792449031398,247287.5,1532.4487812768539,0.0,0.0,38301.5,3564.1162878738432,0.0,0.0,51224.0,1463.4604872715915
2020-02-06,목요일,51213.4,6536.407463671617,22951.0,5660.9071500152495,12210.0,11337.65601965602,15690.8,2705.4363066255387,4714.0,5934.768773865083,56341.5,2462.2725699528764,344070.0,7243.387014270352,19401.0,4271.094788928406,709485.0,1647.6086175183407,10856.0,5165.309506263818,1292827.7,1542.4660687576543,442707.5,1383.5903389935793,95.0,6463.1578947368425,32273.7,3564.749006156716,0.0,0.0,96336.0,1319.9406244809832
2020-02-07,금요일,38934.0,6975.0126881389015,22086.0,6104.441727791361,6390.0,10210.015649452269,25182.84,3099.1227359582954,3140.1,4520.55667016974,50336.0,2357.40638906548,495139.9,7336.986439590103,14332.0,4137.096008931064,733582.0,1650.493782562822,14788.0,5036.441709494185,1352884.2,1537.7802002566075,366616.7,1467.4380626959983,0.0,0.0,41478.5,3118.5529852815316,37.0,7181.081081081081,66619.5,1417.8701431262618
2020-02-08,토요일,16660.1,7464.829142682217,15231.0,4589.836517628521,1468.0,13425.946866485014,10048.0,2941.202229299363,847.4,12640.311541184801,35399.0,2241.5503262804036,505588.05,7613.044928573767,3076.0,5980.373862158647,249143.0,1471.747149227552,33326.6,4765.392509286876,1200349.1,1632.1713658134952,171801.8,1589.4231026683074,30.0,6366.666666666667,18575.0,3149.4320323014804,131.0,9677.099236641221,24284.0,1418.3618843683084
